date,agegrp,pi_uc,resp_uc,resp_cardio_uc,natural,population,perc_pos_flu,perc_pos_fluAh1n1,perc_pos_fluAh3n2,perc_pos_fluB,perc_pos_rsv
11/25/2018,60+ yrs,94,340,1376,3523,5098435,0.020080321,1.04E-17,0.004016064,0.016064257,0.012048193
3/22/2015,60+ yrs,99,280,1239,3168,4665551,0.039195925,0.015864128,0.003546099,0.019785697,0.241447643
2/18/2018,60+ yrs,101,307,1242,3192,5098435,0.012820513,0.002564103,-1.45E-18,0.01025641,0.202193885
2/23/2014,60+ yrs,102,298,1279,3164,4527167,0.028191905,0.008438819,0.00617284,0.013580247,0.298077825
2/4/2018,60+ yrs,102,322,1307,3385,5098435,0.023254371,0.005296343,-1.45E-18,0.017958028,0.114389329
2/25/2018,60+ yrs,102,318,1390,3405,5098435,8.96E-18,1.73E-17,-1.45E-18,7.08E-18,0.243811242
10/14/2018,60+ yrs,102,367,1418,3564,5098435,0.076950549,0.002777778,0.008558559,0.065614212,0.014451601
3/19/2017,60+ yrs,105,302,1309,3324,4950886,0.005311355,0.002136752,0.003174603,5.64E-18,0.2497447
11/22/2015,60+ yrs,108,308,1326,3351,4665551,0.047761865,0.006802721,-6.94E-18,0.040959144,0.019152212
3/13/2016,60+ yrs,108,328,1327,3350,4806961,0.036564626,0.005952381,0.005952381,0.024659864,0.198717949
4/2/2017,60+ yrs,108,339,1331,3409,4950886,0.013527877,1.65E-17,0.006763939,0.006763939,0.246377779
1/29/2017,60+ yrs,110,329,1371,3311,4950886,0.026946721,1.65E-17,0.026946721,5.64E-18,0.052459016
1/28/2018,60+ yrs,112,347,1358,3425,5098435,0.027977717,0.008580194,-1.45E-18,0.019397524,0.078806783
2/19/2017,60+ yrs,113,325,1308,3262,4950886,0.00330033,1.65E-17,0.00330033,5.64E-18,0.168185628
3/6/2016,60+ yrs,114,336,1388,3403,4806961,0.01483485,1.42E-17,-6.94E-18,0.01483485,0.21549936
12/10/2017,60+ yrs,114,348,1481,3713,4950886,0.045848698,0.015200587,-1.45E-18,0.030648111,0.025700865
1/24/2016,60+ yrs,115,342,1379,3308,4806961,0.013616939,0.004273504,0.005555556,0.003787879,0.062276612
4/29/2018,60+ yrs,116,349,1469,3656,5098435,0.118329648,0.113755787,0.004573861,6.51E-18,0.353493777
1/21/2018,60+ yrs,117,328,1333,3340,5098435,0.044897669,0.016243029,0.003831418,0.024823223,0.056743989
10/21/2012,60+ yrs,118,349,1333,3222,4264528,0.034874052,8.67E-18,1.16E-18,0.034874052,0.086744599
11/25/2012,60+ yrs,118,321,1246,3090,4264528,0.034113931,0.002436647,0.019159009,0.012518275,0.077878289
12/15/2013,60+ yrs,118,342,1357,3313,4391538,0.009259259,1.73E-17,-5.78E-19,0.009259259,0.018518519
2/9/2014,60+ yrs,118,317,1367,3408,4527167,0.017058549,0.017058549,-5.78E-19,6.79E-18,0.280215518
3/8/2015,60+ yrs,118,353,1395,3377,4665551,0.039236981,0.012475634,0.005291005,0.021470343,0.195502646
2/5/2017,60+ yrs,118,349,1336,3435,4950886,0.016530055,1.65E-17,0.016530055,5.64E-18,0.074986117
3/18/2018,60+ yrs,118,362,1456,3610,5098435,0.031609084,0.013550136,0.005797101,0.012261847,0.327799688
4/12/2015,60+ yrs,119,379,1545,3578,4665551,0.06252966,0.020861095,0.014908239,0.026760325,0.278017714
1/22/2017,60+ yrs,119,322,1291,3260,4950886,0.021808104,1.65E-17,0.021808104,5.64E-18,0.051681957
1/17/2010,60+ yrs,120,327,1263,3068,4024870,0.00913242,0.00456621,4.63E-18,0.00456621,0.062918365
2/2/2014,60+ yrs,120,321,1290,3271,4527167,0.008619731,0.008619731,-5.78E-19,6.79E-18,0.24880436
12/14/2014,60+ yrs,120,358,1394,3330,4527167,1.16E-17,1.91E-17,-1.39E-17,7.95E-18,0.02265745
3/17/2013,60+ yrs,121,329,1264,3173,4391538,0.012500727,0.010601392,0.001899335,3.76E-18,0.257372257
1/15/2017,60+ yrs,121,322,1305,3369,4950886,0.028180653,0.004901961,0.023278692,5.64E-18,0.063691761
2/11/2018,60+ yrs,121,306,1340,3336,5098435,0.015057649,0.002564103,-1.45E-18,0.012493547,0.161158857
2/3/2013,60+ yrs,122,325,1300,3136,4391538,0.022183306,0.011891549,1.16E-18,0.010291757,0.127271939
3/4/2018,60+ yrs,122,369,1423,3524,5098435,0.009363296,1.73E-17,-1.45E-18,0.009363296,0.276307386
11/4/2012,60+ yrs,123,363,1519,3476,4264528,0.018633641,8.67E-18,0.004694836,0.013938805,0.102473045
3/1/2015,60+ yrs,123,354,1342,3397,4665551,0.026901455,0.003703704,0.010499339,0.012698413,0.159044312
1/10/2016,60+ yrs,123,351,1385,3367,4806961,0.005555556,1.42E-17,0.005555556,5.64E-18,0.040136054
1/1/2017,60+ yrs,123,368,1442,3563,4950886,0.053065671,0.004901961,0.042872705,0.005291005,0.059562714
2/12/2017,60+ yrs,123,368,1383,3366,4950886,0.011497051,1.65E-17,0.011497051,5.64E-18,0.105390407
2/12/2012,60+ yrs,124,315,1282,3136,4264528,0.01618123,0.003236246,0.006472492,0.006472492,0.10197477
5/6/2012,60+ yrs,124,385,1401,3281,4264528,0.027777083,8.67E-18,0.009182684,0.018594398,0.180723476
3/20/2016,60+ yrs,124,329,1319,3316,4806961,0.029761905,0.005952381,0.005952381,0.017857143,0.216139552
3/26/2017,60+ yrs,124,352,1338,3381,4950886,0.008263662,1.65E-17,0.005719132,0.002544529,0.226566648
4/8/2018,60+ yrs,124,358,1378,3461,5098435,0.038240577,0.031988109,0.002347418,0.00390505,0.35913407
1/24/2010,60+ yrs,125,322,1259,2986,4024870,0.009433962,1.50E-17,0.003144654,0.006289308,0.060376795
3/11/2012,60+ yrs,125,303,1223,2935,4264528,0.025223465,0.006305866,0.006305866,0.012611732,0.232263549
11/15/2015,60+ yrs,125,353,1383,3363,4665551,0.043889256,0.006802721,-6.94E-18,0.037086535,0.014932802
2/7/2016,60+ yrs,125,337,1372,3457,4806961,0.012404788,0.008659469,0.003745318,5.64E-18,0.082672469
3/25/2018,60+ yrs,125,328,1398,3521,5098435,0.036330295,0.022939807,0.008144519,0.005245969,0.346394403
12/23/2018,60+ yrs,125,356,1515,3771,5098435,0.007936508,0.007936508,-1.45E-18,2.46E-18,0.015873016
1/26/2014,60+ yrs,126,343,1271,3242,4527167,0.024112348,0.004504505,-5.78E-19,0.019607843,0.240210799
4/5/2015,60+ yrs,126,346,1405,3475,4665551,0.059239135,0.018944285,0.012448333,0.027846518,0.281212398
10/11/2015,60+ yrs,126,388,1397,3485,4665551,0.060601668,0.003546099,0.003663004,0.053392565,0.020212766
12/3/2017,60+ yrs,126,388,1491,3722,4950886,0.059335681,0.015200587,0.003030303,0.041104791,0.011616358
3/25/2012,60+ yrs,127,313,1234,2894,4264528,0.017182131,8.67E-18,8.10E-18,0.017182131,0.204130239
2/17/2013,60+ yrs,127,343,1231,2964,4391538,0.017877764,0.017877764,1.16E-18,3.76E-18,0.174185986
3/24/2013,60+ yrs,127,310,1194,3013,4391538,0.006802721,0.006802721,1.16E-18,3.76E-18,0.277471387
11/10/2013,60+ yrs,127,342,1429,3490,4391538,0.077078477,0.008547009,-5.78E-19,0.068531469,0.011616162
11/30/2014,60+ yrs,127,339,1482,3518,4527167,0.015371763,1.91E-17,0.015371763,7.95E-18,0.011904762
2/22/2015,60+ yrs,127,331,1264,3196,4665551,0.024679233,1.91E-17,0.019388228,0.005291005,0.139785053
3/5/2017,60+ yrs,127,332,1346,3489,4950886,0.004467754,0.002136752,-9.83E-18,0.002331002,0.250724323
12/24/2017,60+ yrs,127,373,1449,3523,4950886,0.046965367,0.018719807,-1.45E-18,0.02824556,0.037635232
1/7/2018,60+ yrs,127,351,1510,3684,5098435,0.053257685,0.017395714,0.008733378,0.027128593,0.035861971
1/22/2012,60+ yrs,128,300,1201,2935,4264528,0.003472222,8.67E-18,0.003472222,4.34E-18,0.074298646
11/24/2013,60+ yrs,128,349,1310,3215,4391538,0.052845194,1.73E-17,0.025641026,0.027204168,0.021143562
